ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
-9594726; 90014648; 8691406; -219726562; -1129150390; -347900390; -3900000000; 7000000000; 10700000000; 33087594604;1700000000; 400000000; 1400000000; 5008328490; 1999385170; 50.08327366368528; 19.993836611844742
-5505371; 95336914; 17700195; -1403808593; -231933593; -323486328; -3900000000; 7100000000; 10700000000; 33122021484;1700000000; 400000000; 1500000000; 5008328490; 1999385170; 50.08326218273709; 19.99384368366546
-2136230; 93994140; 12158203; -1086425781; -476074218; 225830078; -4000000000; 7000000000; 10700000000; 33025509643;1700000000; 400000000; 1500000000; 5008328419; 1999385209; 50.08326218273709; 19.99384368366546
598144; 97033691; 22338867; 219726562; 61035156; 244140625; -4200000000; 7000000000; 10500000000; 32867132568;1700000000; 400000000; 1600000000; 5008328419; 1999385209; 50.083271102893214; 19.99383365884023
-256347; 96130371; 21777343; 97656250; 177001953; 12207031; -4200000000; 6900000000; 10500000000; 32867132568;1700000000; 400000000; 1600000000; 5008328400; 1999385160; 50.083271102893214; 19.99383365884023
-1110839; 94738769; 21362304; 274658203; 213623046; 6103515; -4200000000; 6900000000; 10600000000; 32867132568;1700000000; 400000000; 1700000000; 5008328400; 1999385160; 50.083271102893214; 19.99383365884023
-183105; 97082519; 18444824; 360107421; 671386718; 463867187; -4200000000; 7000000000; 10500000000; 32903625488;1700000000; 400000000; 1700000000; 5008328419; 1999385140; 50.083271102893214; 19.99383365884023
1367187; 97387695; 12878417; 97656250; -201416015; -54931640; -4200000000; 7100000000; 10500000000; 32939361572;1700000000; 400000000; 1800000000; 5008328419; 1999385140; 50.083271102893214; 19.99383365884023
1611328; 97204589; 13232421; -134277343; -152587890; -140380859; -4200000000; 7100000000; 10500000000; 32939361572;1700000000; 400000000; 1800000000; 5008328450; 1999385149; 50.083271102893214; 19.99383365884023
-390625; 96936035; 15844726; -79345703; 177001953; -67138671; -4200000000; 6900000000; 10500000000; 32867132568;1700000000; 400000000; 1900000000; 5008328450; 1999385149; 50.083271102893214; 19.99383365884023
-1354980; 96374511; 16015625; -12207031; 195312500; -54931640; -4200000000; 7000000000; 10500000000; 32903625488;1700000000; 400000000; 1900000000; 5008328430; 1999385140; 50.083271102893214; 19.99383365884023
-2575683; 97338867; 12939453; 79345703; -201416015; -85449218; -4200000000; 6900000000; 10600000000; 32867132568;1700000000; 400000000; 2000000000; 5008328430; 1999385140; 50.083271102893214; 19.99383365884023
-1989746; 98693847; 11743164; -103759765; -744628906; -445556640; -4200000000; 6900000000; 10600000000; 32867132568;1700000000; 400000000; 2000000000; 5008328440; 1999385149; 50.083271102893214; 19.99383365884023
-1965332; 97399902; 26892089; 12207031; 396728515; -268554687; -4100000000; 6700000000; 10700000000; 32853585815;1700000000; 400000000; 2100000000; 5008328440; 1999385149; 50.083271102893214; 19.99383365884023
-8178710; 93103027; 27404785; 183105468; 1379394531; 67138671; -3900000000; 6700000000; 10700000000; 32979678344;1700000000; 400000000; 2100000000; 5008328440; 1999385160; 50.083271102893214; 19.99383365884023
-5078125; 94848632; 23449707; 12207031; -67138671; 0; -4000000000; 6800000000; 10600000000; 32953442382;1700000000; 400000000; 2200000000; 5008328440; 1999385160; 50.083271102893214; 19.99383365884023
-5651855; 94458007; 24328613; 12207031; -109863281; 140380859; -4000000000; 6800000000; 10700000000; 32953442382;1700000000; 400000000; 2200000000; 5008328460; 1999385140; 50.083271102893214; 19.99383365884023
366210; 102392578; 24230957; 640869140; -396728515; 372314453; -4100000000; 6900000000; 10700000000; 32928109741;1700000000; 400000000; 2300000000; 5008328460; 1999385140; 50.083271102893214; 19.99383365884023
-5639648; 94714355; 22912597; -54931640; 1165771484; -1202392578; -4100000000; 6900000000; 10600000000; 32928109741;1700000000; 400000000; 2300000000; 5008328470; 1999385140; 50.083271102893214; 19.99383365884023
-5932617; 96105957; 17553710; 347900390; 921630859; 256347656; -4000000000; 6800000000; 10700000000; 32953442382;1700000000; 400000000; 2400000000; 5008328470; 1999385140; 50.083271102893214; 19.99383365884023
-6518554; 96887207; 15429687; 213623046; 323486328; 207519531; -4000000000; 6800000000; 10700000000; 32953442382;1700000000; 400000000; 2400000000; 5008328490; 1999385140; 50.083271102893214; 19.99383365884023
-4113769; 97131347; 16821289; -67138671; -177001953; -54931640; -4000000000; 7000000000; 10600000000; 33025509643;1700000000; 400000000; 2500000000; 5008328490; 1999385140; 50.083271102893214; 19.99383365884023
-4516601; 95495605; 17895507; -183105468; -329589843; -97656250; -4000000000; 6900000000; 10600000000; 32989865112;1700000000; 400000000; 2500000000; 5008328540; 1999385119; 50.083271102893214; 19.99383365884023
-2026367; 95544433; 19348144; 280761718; 592041015; 543212890; -4000000000; 7000000000; 10700000000; 33025509643;1700000000; 400000000; 2600000000; 5008328540; 1999385119; 50.083271102893214; 19.99383365884023
1098632; 97204589; 18688964; 103759765; 457763671; 6103515; -4100000000; 7000000000; 10600000000; 32964190673;1700000000; 400000000; 2600000000; 5008328560; 1999385100; 50.083271102893214; 19.99383365884023
-1013183; 96093750; 19104003; -85449218; 274658203; 18310546; -4100000000; 7000000000; 10500000000; 32964190673;1700000000; 400000000; 2700000000; 5008328560; 1999385100; 50.0832822252617; 19.993844130820957
-988769; 96179199; 18920898; -115966796; 317382812; -6103515; -4200000000; 7000000000; 10600000000; 32903625488;1700000000; 400000000; 2700000000; 5008328630; 1999385080; 50.0832822252617; 19.993844130820957
2050781; 96130371; 16833496; 463867187; -524902343; 592041015; -4200000000; 7100000000; 10600000000; 32939361572;1700000000; 400000000; 2800000000; 5008328630; 1999385080; 50.0832822252617; 19.993844130820957
4333496; 98974609; 15856933; -42724609; -512695312; -54931640; -4300000000; 7200000000; 10500000000; 32915344238;1700000000; 400000000; 2800000000; 5008328690; 1999385070; 50.0832822252617; 19.993844130820957
2709960; 96313476; 17541503; 42724609; -6103515; 12207031; -4200000000; 7100000000; 10500000000; 32939361572;1700000000; 400000000; 2900000000; 5008328690; 1999385070; 50.0832822252617; 19.993844130820957
2185058; 95629882; 17407226; -115966796; -85449218; -323486328; -4200000000; 7100000000; 10500000000; 32939361572;1700000000; 400000000; 2900000000; 5008328690; 1999385059; 50.0832822252617; 19.993844130820957
1318359; 97253417; 16857910; 6103515; 183105468; -109863281; -4200000000; 7100000000; 10600000000; 32939361572;1700000000; 400000000; 3000000000; 5008328690; 1999385059; 50.0832822252617; 19.993844130820957
805664; 96276855; 18139648; 164794921; 476074218; 189208984; -4200000000; 7100000000; 10600000000; 32939361572;1700000000; 400000000; 3000000000; 5008328660; 1999385040; 50.0832822252617; 19.993844130820957
927734; 96740722; 16076660; -30517578; -146484375; -6103515; -4200000000; 7100000000; 10600000000; 32939361572;1700000000; 400000000; 3100000000; 5008328660; 1999385040; 50.0832822252617; 19.993844130820957
