ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
6616210; 13977050; 100280761; -6103515; -24414062; -24414062; 5800000000; 3100000000; 1000000000; 6187626266;0; 0; 0; 5009042930; 2000141829; 50.090553999271286; 20.001243060711445
6591796; 13977050; 100292968; -18310546; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009043029; 2000141670; 50.090553999271286; 20.001243060711445
6542968; 13879394; 100341796; -18310546; -18310546; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009043029; 2000141670; 50.090553999271286; 20.001243060711445
6640625; 13977050; 100341796; -12207031; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009043130; 2000141030; 50.090553999271286; 20.001243060711445
6604003; 13964843; 100292968; -12207031; -24414062; -24414062; 5700000000; 3000000000; 1200000000; 6265012359;0; 0; 0; 5009043130; 2000141030; 50.090553999271286; 20.001243060711445
6628417; 13952636; 100378417; -12207031; -30517578; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009043200; 2000140379; 50.09059499946565; 20.00128426548489
6518554; 14025878; 100292968; -12207031; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009043200; 2000140379; 50.09059499946565; 20.00128426548489
6665039; 13916015; 100341796; -12207031; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009043290; 2000140060; 50.09059499946565; 20.00128426548489
6652832; 14050292; 100219726; -6103515; -30517578; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009043290; 2000140060; 50.09059499946565; 20.00128426548489
6738281; 14001464; 100256347; -6103515; -36621093; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009054550; 2000124920; 50.09059499946565; 20.00128426548489
6604003; 14001464; 100305175; -12207031; -30517578; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009054550; 2000124920; 50.09059499946565; 20.00128426548489
6628417; 13928222; 100268554; -12207031; -30517578; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009053859; 2000124030; 50.09059499946598; 20.00128426548489
6518554; 13879394; 100292968; -6103515; -30517578; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009053859; 2000124030; 50.09059499946598; 20.00128426548489
