ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
-8874511; 93212890; -27526855; -12207031; -36621093; -6103515; -700000000; -700000000; 3600000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8886718; 93261718; -27539062; -12207031; -30517578; -12207031; -800000000; -700000000; 3700000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8911132; 93151855; -27514648; -12207031; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8911132; 93237304; -27502441; -6103515; -30517578; -12207031; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8874511; 93176269; -27539062; -12207031; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8911132; 93249511; -27490234; -12207031; -30517578; -6103515; -800000000; -800000000; 3700000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8862304; 93176269; -27478027; -12207031; -30517578; -6103515; -800000000; -800000000; 3700000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8898925; 93225097; -27502441; -12207031; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8825683; 93188476; -27490234; -12207031; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8898925; 93249511; -27478027; -12207031; -30517578; -12207031; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8874511; 93322753; -27563476; -6103515; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8850097; 93237304; -27526855; -12207031; -24414062; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8911132; 93139648; -27551269; -12207031; -30517578; -6103515; -800000000; -800000000; 3700000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8825683; 93298339; -27551269; -18310546; -30517578; -12207031; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8886718; 93273925; -27526855; -12207031; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8874511; 93212890; -27539062; -12207031; -30517578; -6103515; -800000000; -800000000; 3700000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8911132; 93164062; -27600097; -12207031; -30517578; -12207031; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8923339; 93249511; -27490234; -12207031; -30517578; -12207031; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8874511; 93176269; -27539062; -12207031; -36621093; -6103515; -700000000; -700000000; 3700000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
