ax; ay; az; gx; gy; gz; lat; lon
7722; -18468; -22103; 9872; 25392; 3488; 50.08360203378702; 19.992926204597747
-10049; 24496; 24807; -9856; -17188; 15232; 50.08360203378702; 19.992926204597747
-27604; -23367; 4504; -23888; 2688; -20512; 50.08360203378702; 19.992926204597747
-21102; -6179; 18770; 8656; 31626; 28032; 50.08360203378702; 19.992926204597747
17247; -17165; 28320; 24032; -14752; 5456; 50.08360203378702; 19.992926204597747
-4635; 2119; 15274; -18048; 2256; 4128; 50.08360203378702; 19.992926204597747
-7923; -13625; -18524; 4248; -2432; -464; 50.083626730663255; 19.992943719096424
1004; 24674; -7612; 25242; 7584; 8656; 50.083626730663255; 19.992943719096424
-9293; -1642; -3958; -7008; -18392; -29824; 50.083626730663255; 19.992943719096424
4674; 4910; 29765; 18096; -16864; 30016; 50.083626730663255; 19.992943719096424
24579; -6899; 13281; 27232; -20080; -14176; 50.083626730663255; 19.992943719096424
31297; -25808; -24037; -18816; 15984; 19936; 50.083642155491994; 19.992948626069943
-11120; 10207; 4886; 25840; 15813; 10784; 50.083642155491994; 19.992948626069943
-2583; -22004; -26695; 5008; 27376; -16256; 50.083642155491994; 19.992948626069943
-6395; 31498; 26866; -2752; -21904; 25072; 50.083642155491994; 19.992948626069943
-5407; -21141; 22432; -14016; -24032; -32224; 50.083642155491994; 19.992948626069943
22827; 11136; -16547; 31792; -13232; 31968; 50.083642155491994; 19.992948626069943
-21957; -28017; 30670; -13680; -17040; 31200; 50.083642155491994; 19.992948626069943
29620; 2733; -30290; 4400; 30104; 23868; 50.083642155491994; 19.992948626069943
-12881; 28285; 551; 14976; -24656; -13504; 50.08366136835723; 19.992943251310347
28092; 19574; 7634; -6832; 22198; 30400; 50.08366136835723; 19.992943251310347
18850; 26682; 27091; -1522; -30718; -15840; 50.08366136835723; 19.992943251310347
8245; 31183; 22582; -6224; -3804; 7608; 50.08366136835723; 19.992943251310347
-14790; 5623; 11895; -16256; 7146; 25242; 50.08366136835723; 19.992943251310347
-1512; -19256; 21145; 29248; 12768; 7920; 50.08366136835723; 19.992943251310347
-27986; -15909; 5359; -17944; -14142; -25552; 50.08366136835723; 19.992943251310347
-10746; -12546; 17036; -7907; -30718; 9088; 50.08366136835723; 19.992943251310347
-6021; 9277; -23647; -31328; 16424; -8672; 50.08366136835723; 19.992943251310347
-2284; 25454; 27016; -18560; 29195; -13232; 50.08366136835723; 19.992943251310347
-11278; 20803; -26919; 4714; 25092; -13968; 50.08366136835723; 19.992943251310347
-11510; 5839; 25015; -11872; -15352; -20676; 50.08366136835723; 19.992943251310347
17562; 18669; -30357; 22032; -27673; 6236; 50.08366136835723; 19.992943251310347
1461; -13377; 1558; 6236; -20676; 12784; 50.08366136835723; 19.992943251310347
30301; 17673; 4886; 25092; -31920; 24496; 50.08366136835723; 19.992943251310347
-8238; -10486; -21254; 17088; -31296; 9664; 50.08368860982966; 19.992950500245147
4359; -5513; -5919; -16192; -29808; -18244; 50.08368860982966; 19.992950500245147
-19791; -31303; 24118; 32240; 15352; -10952; 50.08368860982966; 19.992950500245147
-23111; -7746; -8136; 23408; 22032; 18368; 50.08368860982966; 19.992950500245147
13578; 7301; -29262; -25888; -31936; -29664; 50.08368860982966; 19.992950500245147
-20587; -16673; -30515; -29195; -7292; -29488; 50.08368860982966; 19.992950500245147
-22339; 32679; 13356; 4416; -29956; -23904; 50.083702841570535; 19.992958568808962
8627; 16452; 31143; -22050; 11099; 28728; 50.083702841570535; 19.992958568808962
-26923; 6155; -20201; -19152; 17188; 29956; 50.083702841570535; 19.992958568808962
28930; 9411; -30207; -31328; 30866; -4568; 50.083702841570535; 19.992958568808962
-27072; -32227; -812; 28864; 28136; 22050; 50.083702841570535; 19.992958568808962
-3655; 17275; 10765; 19520; 15664; 8520; 50.083702841570535; 19.992958568808962
2756; -7238; -6466; 29792; -9576; 3216; 50.083702841570535; 19.992958568808962
-21201; -23997; -16622; 12621; -22958; 32560; 50.083713405304685; 19.992969045865163
-17531; 21460; -6325; 28136; -21289; 23572; 50.083713405304685; 19.992969045865163
